Talker,Category,distance_babble
AS1,AS,135.01958921658039
AS1,AS,142.50591879954888
AS1,AS,127.95937906013525
AS1,AS,184.8751969968598
AS1,AS,272.2694900768293
AS1,AS,58.85735672360676
AS1,AS,219.8941439525566
AS1,AS,223.33312902124703
AS1,AS,108.7083093918522
AS1,AS,115.68671434081185
AS1,AS,244.03486970415585
AS1,AS,158.40606805407376
AS1,AS,327.5986832261764
AS1,AS,108.82671628980151
AS1,AS,84.19874641425045
AS1,AS,101.65975483397372
AS1,AS,382.7174605080507
AS1,AS,371.684498383267
AS1,AS,246.64642680497604
AS1,AS,50.50504585040948
AS1,AS,110.71141802844515
AS1,AS,86.87456796502948
AS1,AS,172.8841761724733
AS1,AS,170.79389064158553
AS1,AS,123.26873680817418
AS1,AS,251.66264226307976
AS1,AS,152.26273461426516
AS1,AS,290.1913013961773
AS1,AS,71.48928437528164
AS1,AS,57.50351369600371
AS1,AS,202.27667855194565
AS1,AS,140.7876121208706
AS1,AS,247.6532106696227
AS1,AS,37.356988892449486
AS1,AS,238.28777744959802
AS1,AS,168.18145714901436
AS1,AS,100.30527410312831
AS1,AS,196.2466750268919
AS1,AS,106.64078731798763
AS1,AS,144.5354166875427
AS1,AS,41.91124666532369
AS1,AS,68.75227211648718
AS1,AS,183.81511663983855
AS1,AS,315.72886945180915
AS1,AS,183.5122319585831
AS1,AS,191.1286223115121
AS1,AS,234.43136001192676
AS1,AS,57.7298669291926
AS1,AS,128.27797397868432
AS1,AS,59.65068996745381
AS1,AS,62.97254444274393
AS1,AS,213.492199826356
AS1,AS,74.32195518061405
AS1,AS,51.81476495542978
AS1,AS,56.19219466420143
AS1,AS,121.38842569863591
AS1,AS,165.87356799623123
AS1,AS,92.37050292990949
AS1,AS,98.08944271538127
AS1,AS,430.6683452357236
AS1,AS,36.41225230236784
AS1,AS,208.81397731277403
AS1,AS,83.50994820651833
AS1,AS,90.8235293633048
AS1,AS,37.550525692728364
AS1,AS,148.61438001316301
AS1,AS,135.88337529866874
AS1,AS,130.05158394005636
AS1,AS,384.4079566327406
AS1,AS,147.0200551220008
AS1,AS,13.00610116008838
AS1,AS,91.00623448787594
AS1,AS,48.1839776611324
AS1,AS,169.86511489741082
AS1,AS,151.70291524876066
AS1,AS,182.46706929104337
AS1,AS,52.668193075794505
AS1,AS,586.9805653868523
AS1,AS,193.35417147477514
AS1,AS,265.4507138145008
AS1,AS,107.23619787312036
AS1,AS,247.472614841222
AS1,AS,120.89874550192069
AS1,AS,154.84045667253426
AS1,AS,285.7276417882411
AS1,AS,62.65344268115062
AS1,AS,254.59573164706353
AS1,AS,72.82392890986601
AS1,AS,20.33621878036784
AS1,AS,157.1571286581555
AS1,AS,314.9033150313465
AS1,AS,180.19189431367877
AS1,AS,407.6454182909377
AS1,AS,244.92851393925085
AS1,AS,117.34009133404888
AS1,AS,69.77436139991381
AS1,AS,122.0871135048174
AS1,AS,123.03758408604754
AS1,AS,214.5893491487314
AS1,AS,118.44218039052737
AS1,AS,60.95419804337142
AS1,AS,120.44521422109611
AS1,AS,164.71164706155824
AS1,AS,250.0277774771134
AS1,AS,223.76082797257607
AS1,AS,212.7700833451376
AS1,AS,175.3428327054733
AS1,AS,162.3044030819875
AS1,AS,96.4488147357867
AS1,AS,217.30986164795956
AS1,AS,106.17887433139869
AS1,AS,93.7476056253698
AS1,AS,66.75571066730353
AS1,AS,189.73908077747953
AS1,AS,195.8822683385493
AS1,AS,72.26673285635151
AS1,AS,154.83262169575136
AS1,AS,96.34635536549351
AS1,AS,196.3586019413259
AS1,AS,32.31376624235776
AS1,AS,184.53538050393306
AS1,AS,219.99342449375624
AS1,AS,81.21120214350543
AS1,AS,18.054496330035352
AS1,AS,184.0572951232203
AS1,AS,135.28828468970624
AS1,AS,89.29729730902737
AS1,AS,79.96794464124382
AS1,AS,156.4826457265894
AS1,AS,120.22520249503714
AS1,AS,107.65168167467934
AS1,AS,72.88109206433401
AS1,AS,95.48069711658566
AS1,AS,112.65633017924635
AS2,AS,79.49659906444099
AS2,AS,184.8700970352223
AS2,AS,272.2095574879994
AS2,AS,42.01907879538189
AS2,AS,449.99367819760806
AS2,AS,41.943516099780034
AS2,AS,252.72294800396057
AS2,AS,307.1592449167248
AS2,AS,40.960198276039876
AS2,AS,130.5720522080147
AS2,AS,22.83119932926196
AS2,AS,260.43244809895026
AS2,AS,112.41439668837998
AS2,AS,102.85329893986136
AS2,AS,87.03163423613559
AS2,AS,50.52164256843306
AS2,AS,168.06443173025175
AS2,AS,125.78614219305905
AS2,AS,36.933978770401865
AS2,AS,59.54713186050597
AS2,AS,5.6139649814100245
AS2,AS,168.71048904206415
AS2,AS,374.68433970185146
AS2,AS,84.80368608033777
AS2,AS,203.19884594360394
AS2,AS,196.96490425406355
AS2,AS,26.3406185920625
AS2,AS,304.7219894392469
AS2,AS,42.95888235059771
AS2,AS,430.60694278867874
AS2,AS,87.28909987972438
AS2,AS,240.07658132940102
AS2,AS,120.66921300734705
AS2,AS,74.94917586479869
AS2,AS,36.9472464848531
AS2,AS,127.86970128929082
AS2,AS,170.19332637566163
AS2,AS,44.50210717272282
AS2,AS,279.35888717349314
AS2,AS,200.43159171600806
AS2,AS,376.4145223391527
AS2,AS,173.56109574963077
AS2,AS,41.659141767594086
AS2,AS,50.8568213007114
AS2,AS,102.80147546515339
AS2,AS,431.30805595051476
AS2,AS,80.62538361342844
AS2,AS,199.06638466303787
AS2,AS,19.66464283460277
AS2,AS,121.77605722313591
AS2,AS,198.43084694122663
AS2,AS,361.08489927967423
AS2,AS,180.1461273322648
AS2,AS,20.13376747686595
AS2,AS,102.31485440937928
AS2,AS,249.20015744941367
AS2,AS,306.1952785769441
AS2,AS,17.992828649561815
AS2,AS,128.81416287742778
AS2,AS,95.67571503684968
AS2,AS,91.55611379264892
AS2,AS,69.63820113854521
AS2,AS,123.81048240279378
AS2,AS,227.05563356325789
AS2,AS,109.85592247490573
AS2,AS,354.3235645322118
AS2,AS,128.65642408295227
AS3,AS,167.56527325268007
AS3,AS,53.403748813356394
AS3,AS,196.11751294027283
AS3,AS,46.2526570397686
AS3,AS,46.208127008198886
AS3,AS,110.19593581268308
AS3,AS,90.68167411320344
AS3,AS,88.41637909393235
AS3,AS,171.1743338816811
AS3,AS,132.37544518270818
AS3,AS,89.48024409845276
AS3,AS,164.4541545886568
AS3,AS,515.2104946361613
AS3,AS,176.93296234503836
AS3,AS,220.89036440732383
AS3,AS,54.33447727413421
AS3,AS,85.37744489128079
AS3,AS,75.83617805695414
AS3,AS,24.386676848809213
AS3,AS,232.4485982479919
AS3,AS,313.795653535539
AS3,AS,164.23176677674923
AS3,AS,290.8356566852916
