Talker,Category,distance_babble
AS1,AS,159.8229617571475
AS1,AS,154.41859131954857
AS1,AS,122.94693051632476
AS1,AS,107.42335137467312
AS1,AS,128.10391551852345
AS1,AS,65.01091563590491
AS1,AS,99.34588094060699
AS1,AS,150.10444517743449
AS1,AS,105.95093868606959
AS1,AS,75.51607320718107
AS1,AS,161.43567228908617
AS1,AS,99.2940414245364
AS1,AS,102.94499077456742
AS1,AS,61.77749610973967
AS1,AS,109.17830636768637
AS1,AS,93.31313504415671
AS1,AS,175.0011980813177
AS1,AS,87.03424120942672
AS1,AS,115.15717929514794
AS1,AS,103.50412556915106
AS1,AS,87.14246990286661
AS1,AS,99.95353680728189
AS1,AS,115.35904441798748
AS1,AS,49.038654465955965
AS1,AS,92.13175842568221
AS1,AS,68.12379769035375
AS1,AS,107.45819936305679
AS1,AS,77.4273368934024
AS1,AS,117.00714721181619
AS1,AS,78.90215001792184
AS1,AS,118.74519207449492
AS1,AS,85.90301958933428
AS1,AS,79.61019905078449
AS1,AS,213.236568012244
AS1,AS,180.01824509529965
AS1,AS,146.93089693792834
AS1,AS,111.86372913371136
AS1,AS,88.71519834445427
AS1,AS,100.35950584672402
AS1,AS,83.52437285745103
AS1,AS,96.96978698596844
AS1,AS,143.7852876190654
AS1,AS,274.0205406862776
AS1,AS,249.69370736093302
AS1,AS,183.35200541002524
AS1,AS,116.36774734751155
AS1,AS,134.11865115813157
AS1,AS,185.0911687346297
AS1,AS,128.24829742684673
AS1,AS,59.98444668625008
AS1,AS,93.28804603408167
AS1,AS,98.59477909552959
AS1,AS,66.28735301172917
AS1,AS,83.49280433865421
AS1,AS,70.2681106382618
AS1,AS,41.53438310264489
AS1,AS,94.50204601168855
AS1,AS,87.58909283459806
AS1,AS,66.51554375194841
AS1,AS,110.8107469753927
AS1,AS,116.11663809052276
AS1,AS,119.78259608245834
AS1,AS,111.06967106902124
AS1,AS,54.68680880883625
AS1,AS,79.2591966744789
AS1,AS,89.37481300622257
AS1,AS,103.84146163383434
AS1,AS,82.38768342433565
AS1,AS,82.00929188904193
AS1,AS,84.34862130218863
AS1,AS,70.759023474482
AS1,AS,95.19525758396608
AS1,AS,97.39749771198724
AS1,AS,131.55815253275136
AS1,AS,133.7622006199279
AS1,AS,127.66593810961496
AS1,AS,112.47756763413577
AS1,AS,262.42033972575564
AS1,AS,128.55426005565872
AS1,AS,92.85216023634551
AS1,AS,79.50804197402495
AS1,AS,62.04773996177517
AS1,AS,156.1714146539052
AS1,AS,75.91128563441806
AS1,AS,128.62768568099548
AS1,AS,113.69083574372374
AS1,AS,176.18273816054148
AS1,AS,78.94490202900292
AS1,AS,90.768914809546
AS1,AS,137.54711444426258
AS1,AS,86.14950073913255
AS1,AS,233.23137943886394
AS1,AS,77.08098481071387
AS1,AS,90.99594916414942
AS1,AS,189.04791891835603
AS1,AS,74.58661993363555
AS1,AS,84.45627543666963
AS1,AS,91.44667639677728
AS1,AS,124.04175806754007
AS1,AS,90.88439780415676
AS1,AS,128.85465638058716
AS1,AS,50.31004709398796
AS1,AS,122.57443113775727
AS1,AS,70.53027750242313
AS1,AS,68.51383313736679
AS1,AS,152.28820669435004
AS1,AS,118.3332708377037
AS1,AS,79.9785630840291
AS1,AS,79.4304201483303
