Talkers,Noise,F1,F2,F3
AS1,NC,464.7,1234.02,2588.4665476190476
AS1,NC,487.96,1779.28,2785.818994413408
AS1,NC,620.14,1789.47,2660.926396396396
AS1,NC,483.56,1380.16,2721.3952564102565
AS1,NC,628.8,1668.99,2748.1555056179773
AS1,NC,545.7,1550.47,2742.4192028985503
AS1,NC,548.96,1504.41,2773.1119463087243
AS1,NC,583.71,1749.55,2824.620275862069
AS1,NC,464.08,1412.49,2719.006097560976
AS1,NC,441.58,1696.3,2831.588307692308
AS1,NC,562.18,1626.41,2771.0472549019614
AS1,NC,562.08,1626.56,2874.322479338843
AS1,NC,559.02,1546.71,2705.0327631578953
AS1,NC,562.48,1931.25,2811.3746666666675
AS1,NC,471.86,1857.08,2862.2237323943664
AS2,NC,394.15,1289.72,2416.7398165137615
AS2,NC,441.7,1658.58,2661.9701773049646
AS2,NC,436.7,1555.55,2525.5935185185176
AS2,NC,465.72,1351.0,2535.3538888888893
AS2,NC,410.72,1244.67,2567.2930348258706
AS2,NC,446.22,1447.48,2503.440196078431
AS2,NC,455.59,1316.09,2617.522679245283
AS2,NC,555.79,1132.49,2550.6395555555555
AS2,NC,457.83,1376.14,2544.67421875
AS2,NC,419.21,1136.93,2520.0864383561643
AS2,NC,467.07,1193.75,2625.5429743589743
AS2,NC,404.24,1452.33,2457.0336458333336
AS2,NC,508.48,1517.93,2629.7085714285713
AS2,NC,407.6,1507.44,2598.5850867052022
AS2,NC,431.94,1267.53,2590.5349070631964
AS2,NC,457.53,1425.18,2509.4443589743596
AS2,NC,425.53,1542.92,2580.1422935779824
AS2,NC,467.85,1323.34,2592.8085477178424
AS2,NC,561.37,955.48,2611.21175
AS2,NC,407.15,1766.62,2605.5095999999994
AS2,NC,486.04,1592.48,2614.05452991453
AS2,NC,448.99,1133.96,2603.5841666666665
AS2,NC,449.59,1491.71,2549.0458653846154
AS2,NC,442.01,1331.72,2695.2285975609757
AS2,NC,496.68,1349.93,2570.134251497006
AS2,NC,489.85,1417.73,2498.561046511628
AS2,NC,390.66,1536.46,2535.9402966101693
AS2,NC,395.38,1521.76,2524.8896116504857
AS2,NC,555.79,1314.1,2631.1462857142865
AS2,NC,461.94,1422.71,2622.25224137931
AS2,NC,359.98,1221.23,2454.707125
AS2,NC,406.93,1411.19,2613.087202797203
AS2,NC,528.24,1094.71,2489.201923076923
AS2,NC,450.85,1351.21,2558.5305913978495
AS2,NC,451.34,1227.8,2581.7252272727274
AS2,NC,393.57,1643.91,2540.8634931506854
AS2,NC,487.23,1536.29,2445.3245454545454
AS2,NC,562.94,1478.18,2680.493389830509
AS2,NC,454.2,1440.85,2522.1660402684565
AS2,NC,414.45,935.58,2540.70275862069
AS2,NC,472.29,1340.4,2632.331971830986
AS2,NC,419.58,1197.97,2484.188015873016
AS2,NC,502.38,1161.07,2458.681962616822
AS2,NC,442.78,1400.93,2538.196296296296
AS2,NC,420.69,1325.2,2551.8133184855233
AS2,NC,405.28,1525.14,2587.8260427807486
AS2,NC,419.29,1584.95,2415.753820224719
AS2,NC,460.16,1512.69,2580.4042672413793
AS2,NC,439.96,1338.88,2665.420636132316
