Talker,Noise,f0_median
AS3,NC,196.25
AS3,NC,200.08
AS3,NC,176.24
AS3,NC,183.44
AS3,NC,179.7
AS3,NC,173.1
AS3,NC,170.74
AS3,NC,125.26
AS3,NC,157.73
AS3,NC,154.8
AS3,NC,201.5
AS3,NC,213.92
AS3,NC,216.12
AS3,NC,203.43
AS3,NC,184.71
AS3,NC,173.18
AS3,NC,197.21
AS3,NC,167.88
AS3,NC,183.66
AS3,NC,195.14
AS3,NC,173.95
AS3,NC,183.51
AS3,NC,195.42
AS3,NC,215.95
AS3,NC,189.53
AS3,NC,167.57
AS3,NC,218.07
AS3,NC,192.18
AS3,NC,162.02
AS3,NC,178.13
AS3,NC,171.3
AS3,NC,182.3
AS3,NC,181.92
AS3,NC,164.05
AS3,NC,185.21
AS3,NC,180.4
AS3,NC,178.56
AS3,NC,103.97
AS3,NC,200.97
AS3,NC,204.32
AS3,NC,186.5
AS3,NC,212.26
AS3,NC,196.32
AS3,NC,160.7
AS3,NC,179.88
AS3,NC,215.04
AS3,NC,198.74
AS3,NC,190.5
AS3,NC,205.94
AS3,NC,198.22
AS3,NC,192.94
AS3,NC,177.86
AS3,NC,110.56
AS3,NC,205.51
AS3,NC,171.25
AS3,NC,192.25
AS3,NC,191.18
AS3,NC,168.85
AS3,NC,180.36
AS3,NC,174.81
AS3,NC,226.6
AS3,NC,159.62
AS3,NC,185.36
AS3,NC,171.94
AS3,NC,218.88
AS3,NC,181.26
AS3,NC,167.69
AS3,NC,178.18
AS3,NC,188.88
AS3,NC,193.65
AS3,NC,176.65
AS3,NC,178.38
AS3,NC,180.78
AS3,NC,195.71
AS3,NC,177.32
AS3,NC,199.23
AS3,NC,170.64
AS3,NC,178.22
AS3,NC,167.93
AS3,NC,185.25
AS3,NC,198.78
AS3,NC,205.56
AS3,NC,165.01
AS3,NC,161.62
AS3,NC,185.79
AS3,NC,181.1
AS3,NC,204.79
AS3,NC,184.5
AS3,NC,192.2
AS3,NC,166.22
AS3,NC,196.25
AS3,NC,194.86
AS3,NC,205.81
AS3,NC,191.39
AS3,NC,207.98
AS3,NC,183.76
AS3,NC,183.56
AS3,NC,186.9
AS3,NC,168.73
AS3,NC,200.01
AS3,NC,179.04
AS3,NC,207.5
AS3,NC,172.77
AS3,NC,170.45
AS3,NC,172.76
AS3,NC,166.89
AS3,NC,191.04
AS3,NC,182.46
AS3,NC,175.5
AS3,NC,196.35
AS3,NC,177.1
AS3,NC,169.71
AS3,NC,223.24
AS3,NC,158.92
AS3,NC,223.92
AS3,NC,186.15
AS3,NC,206.19
AS3,NC,233.96
AS3,NC,170.35
AS3,NC,197.7
AS3,NC,199.0
AS3,NC,167.21
AS3,NC,199.06
AS4,NC,247.61
AS4,NC,206.72
AS4,NC,241.45
AS4,NC,220.99
AS4,NC,244.5
AS4,NC,224.3
AS4,NC,222.7
AS4,NC,214.71
AS4,NC,237.9
AS4,NC,218.7
AS4,NC,218.44
AS4,NC,251.43
