Talker,Category,distance_ssn
AS1,AS,142.61195830961626
AS1,AS,242.29975250632836
AS1,AS,73.53289941014368
AS1,AS,171.20453673837127
AS1,AS,81.78328427855223
AS1,AS,262.4095113009042
AS1,AS,133.9182361811458
AS1,AS,52.81981424656479
AS1,AS,124.20821274059972
AS1,AS,303.429483152193
AS1,AS,37.41311469958603
AS1,AS,74.86847398172321
AS1,AS,585.2403604224389
AS1,AS,147.59292995334874
AS1,AS,289.00300312448803
AS1,AS,47.95927256149531
AS1,AS,178.09342817109044
AS1,AS,132.7760580093036
AS1,AS,13.60806390521849
AS1,AS,119.84122153833478
AS1,AS,78.86646881000138
AS1,AS,101.5131328303959
AS1,AS,68.91949635430629
AS1,AS,39.71137027924671
AS1,AS,44.258633279849796
AS1,AS,109.05647915647715
AS1,AS,125.15461485067569
AS1,AS,52.08750985839575
AS1,AS,102.5464987976788
AS1,AS,110.76751197646067
AS1,AS,73.17544181368375
AS1,AS,41.286063063079055
AS1,AS,199.34650497046133
AS1,AS,19.878829818996937
AS1,AS,82.4545956215331
AS1,AS,8.742181362374454
AS1,AS,210.82592896659526
AS1,AS,63.80107454348763
AS1,AS,185.887259296504
AS1,AS,135.79281856667916
AS1,AS,166.0669753665264
AS1,AS,230.4121532874492
AS1,AS,111.65416644544793
AS1,AS,54.885129609157616
AS1,AS,56.29268017406448
AS1,AS,161.0997933038983
AS1,AS,381.81901353165057
AS1,AS,274.18910722435714
AS1,AS,243.87245276664808
AS1,AS,359.6897655726823
AS1,AS,26.584701469341713
AS1,AS,277.05558690570086
AS1,AS,69.48667199274819
AS1,AS,30.730143336070043
AS1,AS,212.59200439713973
AS1,AS,224.707960742782
AS1,AS,65.905800418216
AS1,AS,99.92552460746032
AS1,AS,143.13464092802025
AS1,AS,57.544094731092706
AS1,AS,262.08703754038845
AS1,AS,189.24920674859564
AS1,AS,181.10916695455447
AS1,AS,198.75857764827563
AS1,AS,140.13269361747754
AS1,AS,55.57261470650325
AS1,AS,282.6041090699999
AS1,AS,208.8047949471074
AS1,AS,57.92435546772988
AS1,AS,93.7577142636173
AS1,AS,62.267494479590134
AS1,AS,36.997644787205566
AS1,AS,71.64562904929483
AS1,AS,116.76437741705902
AS1,AS,93.91061823373103
AS1,AS,219.4077771775814
AS1,AS,117.06112617717785
AS1,AS,44.49300937505228
AS1,AS,88.82817721138234
AS1,AS,160.4702059309591
AS1,AS,329.3603703834309
AS1,AS,125.43151685477545
AS1,AS,110.50186277322169
AS1,AS,38.780643676171096
AS1,AS,132.76148026392718
AS1,AS,147.49493295261613
AS1,AS,85.27111677673693
AS1,AS,235.49912620338736
AS1,AS,94.06519047873229
AS1,AS,51.59611022301077
AS1,AS,119.56964282508105
AS1,AS,128.6773445903927
AS1,AS,169.01567146826676
AS1,AS,387.13118930703956
AS1,AS,87.77418727743425
AS1,AS,122.78328954794276
AS1,AS,56.57910580411624
AS1,AS,92.0228864925513
AS1,AS,53.24264235852227
AS1,AS,228.7768016614031
AS1,AS,232.13681060620442
AS1,AS,286.7633858255707
AS1,AS,396.4422001848269
AS1,AS,316.49991498142373
AS1,AS,96.23092328893873
AS1,AS,182.46469927029807
AS1,AS,156.20932727397079
AS1,AS,190.19151406920915
AS1,AS,198.61639986929967
AS1,AS,152.59232747627865
AS1,AS,167.72569021390657
AS1,AS,203.28333396197755
AS1,AS,95.84737448497104
AS1,AS,10.40087720804328
AS1,AS,240.20597122227178
AS1,AS,10.665966619962811
AS1,AS,78.1266592793076
AS1,AS,80.1643096211874
AS1,AS,68.35663758962187
AS1,AS,334.9687303478264
AS1,AS,370.11937621921896
AS1,AS,39.103077184762604
AS1,AS,107.869600900443
AS1,AS,199.46949366569459
AS1,AS,31.462453723175965
AS1,AS,68.46731621332503
AS1,AS,308.97740962809894
AS1,AS,65.37682577768503
AS1,AS,137.01868669615175
AS1,AS,25.758719845444485
AS1,AS,112.92389844709557
AS1,AS,104.01628831900429
AS1,AS,252.49844141097734
AS1,AS,63.16386168181012
AS1,AS,109.966241612065
AS1,AS,262.58771042848946
AS1,AS,113.29340265879166
AS1,AS,235.33785169075747
AS1,AS,87.19162877688281
AS1,AS,99.0982820468033
AS1,AS,82.58587919171869
AS1,AS,112.54376803381179
AS1,AS,270.710133057114
AS1,AS,99.97553946948203
AS1,AS,77.17466033440782
AS1,AS,32.329335815679656
AS1,AS,150.80948068091925
AS1,AS,385.96634853287424
AS1,AS,43.74005883280018
AS1,AS,269.9859140894149
AS1,AS,352.1800742955724
AS1,AS,163.49626745652057
AS1,AS,143.4182598620877
AS1,AS,382.6296635144475
AS1,AS,174.16424853194437
AS1,AS,274.102423078913
AS1,AS,251.6556658483834
AS1,AS,245.130635418117
AS1,AS,156.29549373500586
AS2,AS,59.54056636287987
AS2,AS,118.20249861069985
AS2,AS,178.36140660976108
AS2,AS,104.84702762984043
AS2,AS,215.07581303533988
AS2,AS,623.4149860508749
AS2,AS,445.71451249966333
AS2,AS,410.4694706282216
AS2,AS,383.19349290901664
AS2,AS,457.32857302251784
AS2,AS,145.54194492589568
AS2,AS,77.69394881721794
AS2,AS,120.49690916290122
AS2,AS,235.12089051764943
AS2,AS,211.2359178923237
AS2,AS,141.93824698724617
AS2,AS,47.343490764966695
AS2,AS,297.1284811875369
AS2,AS,129.8648740337912
AS2,AS,159.79191119331574
AS2,AS,69.93798279770785
AS2,AS,338.7244990664426
AS2,AS,152.41241331601736
AS2,AS,67.6836428009935
AS2,AS,102.68034431093656
AS2,AS,190.166437990021
AS2,AS,85.61498080250018
AS2,AS,251.90458906659964
AS2,AS,37.96995427719782
AS2,AS,102.67803461701294
AS2,AS,58.065693854568785
AS2,AS,101.56254874614214
AS2,AS,52.32080587885182
AS2,AS,43.446250561037964
AS2,AS,208.47998273890101
AS2,AS,169.0649795428151
AS2,AS,121.24630626461368
AS2,AS,115.72884326222443
AS2,AS,179.88277332143977
AS2,AS,136.5056166896164
AS2,AS,224.3260095883053
AS2,AS,115.58307593593675
AS2,AS,91.89175933027141
AS2,AS,408.0666546935837
AS2,AS,75.97159240671814
AS2,AS,28.237043627343315
AS2,AS,186.69672205963485
AS2,AS,165.61520115258892
AS2,AS,129.86535510986934
AS2,AS,40.61145156002794
AS2,AS,26.677254784038578
AS2,AS,102.04307697150496
AS2,AS,522.264642147841
AS2,AS,454.6775121146992
AS2,AS,224.4250919634713
AS2,AS,327.5871847429514
AS2,AS,54.93862136796394
AS2,AS,374.54747036632415
AS2,AS,117.74430651973147
AS2,AS,55.543080242389166
AS2,AS,342.4379351106016
AS2,AS,61.07607348882603
AS2,AS,150.23037117311685
