Talkers,Category,Noise,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
AS1,AS,NC,208.48021105026524,-32.474995697416446,168.36325362066313,-41.11485830825464,31.80922415887533,-19.88928267395278,-21.402988625871885,-26.228574278569496,-25.15579128076393,-9.196863626689655,-2.440893759484085,-2.817047367583555,-18.214501888944294,18.02051860766809,-3.034508312897348
AS1,AS,NC,270.6643777815705,-20.72213322680353,139.78861552430448,-35.22035204621474,7.034986182096154,-19.97728774510096,-16.346810278092946,-27.766382493644233,-4.311544950224358,-18.520736265064105,-8.4141621690609,8.555284591333333,-5.754187886910257,17.58084608843782,-14.848510481455769
AS1,AS,NC,249.3221792424088,-67.67627392344204,132.81218834650548,-27.63284984281361,37.771537185727915,-20.816957209970017,-28.14865659960401,-39.37961028616259,-32.890429729195255,-8.178061518443432,13.06536623728157,-3.949489038992153,-10.852909469165937,22.66644397044307,-13.02121386985812
AS1,AS,NC,261.1232638814744,-24.95171771766314,149.2674587619872,-62.70945088388782,29.094878152900645,0.42927678729166585,-15.56031031125865,-25.800503277801763,-23.362795255711536,-24.25024080119968,0.846294107467949,-2.1742781828333335,-14.72282593601346,16.978936514523717,-15.230172176708976
AS1,AS,NC,228.41314195245565,-93.55874783457661,154.50355073996286,-23.32280906915524,38.09149343929637,-26.85815708278387,-46.62798140215121,-40.08852438437601,-9.939046331816733,-11.376727798491936,3.256977425074193,0.5705894377076615,-20.066935854528626,17.756409893050403,-13.193825328798386
AS1,AS,NC,379.29626126386836,-71.30283747972649,129.75596902594873,-48.84300108219264,-4.232705306544785,-49.0944194073158,-54.402833169333334,-16.19781023100342,-24.96733616302752,-28.26642498774444,11.277699837393161,-8.801673135254187,-24.097580179902224,18.802008491806497,-21.237584392542225
AS1,AS,NC,240.24071678897874,-40.441228964452485,149.91660316196595,-26.541526527275177,29.617950667106527,-16.965854090878224,-35.14553767045135,-31.5487120792044,-23.93263989695177,-8.34332064279149,4.043250211026667,-4.3227332253561705,-7.725842734842439,18.046388929165293,-12.230840221291064
AS1,AS,NC,460.07581652173917,-53.213309155881774,81.69217034329131,-47.87033378433478,0.9085869890391297,-75.12732456554349,-46.09322307131304,-23.21164758143913,-46.541941320652164,-34.9440807193,-3.7189844753804344,-19.36620045516596,-20.565762021617395,15.902733857852175,-25.168837951380002
AS1,AS,NC,345.96571240156254,-28.89690394343229,133.35684102765364,-26.657471234881253,18.283478901187497,-40.6172865055625,-11.884054336367186,-22.854299534280727,-28.739635994864585,-21.779881592882816,-4.869630640989584,-2.1321034704492194,-17.92244644971875,18.116735407673957,-19.060375785504945
AS1,AS,NC,289.4112968333344,-54.85203267150502,144.43644451217486,-17.34420194428186,20.180598964120765,-46.462720073398906,-22.948808248194428,-29.006804381833877,-18.87475841927104,-26.891162102988762,1.0161831483710388,9.763229254567868,-18.767744510217156,19.03585617877236,-11.956208331640326
AS1,AS,NC,237.03102715913732,-38.73625340167605,178.2224861815493,-41.40770793828028,21.255816336419013,-46.4076456085845,-39.86254260559736,-26.473216108234688,-16.96120419227817,-18.017989161269366,-12.642454468176302,3.839985281210564,-18.22314752419243,14.356282446922535,-6.056490870412326
AS1,AS,NC,420.9235749893617,-27.9995524399149,138.36300409787236,24.01589655332979,59.51477581079787,-74.13727328510639,-73.1258969207447,-23.227445274914896,-36.51062522393617,-53.8090731775532,-5.8487690184148935,12.50423591745745,-37.02310086468085,16.77552341311702,-3.3103830913751056
AS1,AS,NC,288.8847441485484,-43.21925228841898,144.57577622643834,-31.675211703281025,21.578407497848193,-38.550731767378174,-48.19177997585711,-35.040529754277046,-5.5858605172466795,-27.613344290827328,-3.733710348079697,-2.112953038358634,-19.7310218358759,19.768901225779885,-13.254301750690322
AS1,AS,NC,350.5704682773147,-36.2471384909147,129.6833393717647,-9.064991483331175,26.658776144382355,-60.35921887494118,-44.12626101771765,-24.173901077566764,-0.16525334892646965,-27.602329853973938,-16.617287781654706,-2.507484639767354,-26.14054424904882,21.119956116258823,1.5130193010376465
AS1,AS,NC,372.9391157607784,-16.82843945080839,119.00223061697605,-34.245604319491015,12.11144198975449,-44.803078474489816,-21.3513456018991,-18.09114115130539,-21.32828712899102,-34.930065244098806,-12.641776015598802,-0.9743629253392218,-19.615139057598803,24.48980574473952,-5.158527301080239
AS1,AS,NC,333.0249918680292,-43.15751292457178,136.66400990982967,-37.16109798268467,23.599043812082723,-47.642366980683704,-43.319448756403894,-20.575431245180045,-19.941624756307057,-25.23090903827981,-3.865298170131387,-5.4517144463065685,-17.58569051487348,19.45434396224574,-10.349374226629926
AS1,AS,NC,240.56836083885395,-94.96302554548313,137.32076240838205,-44.8970573072018,27.449819125122918,-22.23967358092854,-37.10732672538322,-18.91379605771461,-12.249162696655818,-22.952543224569435,6.733216382597304,12.731595561817528,-17.04858486395977,12.984276880014832,-8.200040030161686
AS1,AS,NC,292.47279548115944,-73.67989221531401,126.46047654492753,-24.319364579178743,35.47002799428019,-53.93173253568599,-50.475463843232816,-37.19519281145411,-22.530533620256037,-22.783985101194684,-4.893879527144928,0.6278145062299519,-12.360472080600484,11.888748200414977,-8.081373487515942
AS1,AS,NC,339.7561997014323,-51.868716668364584,115.45126362998697,-47.47342498564583,16.840036244573444,-47.65721818158334,-39.42511724209479,-21.070209329310156,-10.899797052479167,-28.058777007624997,0.010989749575286941,5.710253753073959,-21.09043818799974,20.38722086967344,-10.189414300161458
AS1,AS,NC,238.74814312593324,-43.243773268546406,156.29773813544315,-20.274500115740356,32.44827707220595,-24.61402154305975,-30.607841281326177,-16.476692242883736,-19.254478274406985,-16.467172128375598,5.97462493417049,-2.4001005616150057,-9.789275395405337,20.557013243610324,0.49265947956486983
AS1,AS,NC,285.9129187284,-72.95271541351111,121.13026450000001,-84.10046946604444,-12.517915518604445,-29.614249996937776,-13.393369665635555,-10.786223558693335,-19.8634189684,-18.93106505801778,0.8802051006804439,7.947023982844443,-11.484274111284,25.75104721049511,-4.212462219422222
AS1,AS,NC,326.94360847596226,-47.70322730162265,132.05292286754718,-20.297455733958866,7.945044481445282,-33.886480853679245,-17.275325187411323,-8.931608973226417,-0.5669285513622642,-14.044909780124527,5.205859376973586,11.895721642083018,-25.768388396978494,11.794132307748301,-5.490079226
AS1,AS,NC,451.23222796894413,-22.31778724217392,98.77701216564267,-66.2806169956677,-38.56925414984472,-91.91038977073292,-34.42410464280745,3.937342298708074,-28.247754057155284,-31.174176726664594,0.7897766191453418,-18.794526926696896,-39.65341310255155,13.253801670012422,-34.62539516104969
AS1,AS,NC,355.0558103052101,-44.36905626912604,97.9214562197479,-34.85799925636975,-0.34865706533100793,-44.26264692277311,-19.493368332184026,-5.960127539137818,10.464473781184875,-17.449097200092435,1.4805966727647053,6.989053439932772,-18.30689549777311,25.816674056991598,-4.907962543637815
AS1,AS,NC,445.91850111538463,-7.157524456610575,89.73625188254809,-24.667016104783652,2.594908941490385,-66.79236587096635,-40.47172013364855,-1.288793970540865,-29.25722029657692,-29.481425424225677,3.9018809323278845,-8.611452847307692,-25.44088722319231,33.49938548925577,-18.166500853278844
AS1,AS,NC,338.23887959980703,-2.7213470257813515,156.1807512665595,-26.21740074864952,16.734595985553057,-18.733616567372994,-21.899267513636012,-25.991950644453375,-27.411701351469457,-26.298361480541445,2.125857738533763,-1.7911342065038582,-25.305295828241157,27.94476007929325,-15.475235865045018
AS1,AS,NC,251.73295139205098,-28.196808614240293,127.64526199129371,-15.038020358889563,28.191067061520993,-34.36718343461881,-30.076078257067714,-18.529811111954736,-16.71775237678313,-12.198475181322816,3.0615279050185675,-3.079569912865873,-20.311068939751095,17.708064051624163,-8.973050475738956
AS1,AS,NC,274.792944643036,-42.639627427761795,132.7581030744883,-30.09772144232382,20.857949560979332,-33.26233734272809,-26.8777368984218,-33.85771006018337,-22.07725246141034,-18.418891200089167,3.072348720399999,-1.2939841737094386,-22.09322886354382,16.156542278608992,-15.540921396526516
AS1,AS,NC,293.93975057302026,-23.08441825939705,179.53902955288765,4.700303858069979,27.389560929211786,-39.46177286334954,-31.77267932210313,-23.15848488659834,-14.322109041972189,-20.424199847735725,-1.6926758885593007,2.143003854067403,-20.412367882541805,22.492516893044197,-4.0799141612854495
AS1,AS,NC,283.9676932246622,-27.112836430814188,149.65363825615992,-12.063525240122296,32.79808171168199,-31.051062612635924,-16.130769537292792,-24.51773610440428,-9.42405844105518,-21.558899708976128,0.20756844843648659,1.1432197304467344,-17.508190721314076,21.052794203180067,-10.958368512221847
AS1,AS,NC,273.8761964152989,-60.91639910038007,160.8823917673432,-31.482333324318567,73.4521985874096,-38.66363106423874,-34.6759008138203,-27.648110815469007,-26.2183418897786,-22.96281189647232,-5.265876580646125,-8.011087338969004,-16.894025858007378,25.0490601584193,-4.927257907826569
AS1,AS,NC,413.14407358415843,-27.62199365504951,110.76746372376236,6.044428722574258,31.997192621,-60.8099108651485,-13.94070080531683,-40.860740351366346,-26.64706452858416,-10.098437594079206,-0.13938783290693113,9.371446107061386,-39.78533882742574,14.216773004257425,-19.31526609127723
AS1,AS,NC,269.1856677729508,-22.616753748561017,147.16628999332542,-33.01247087581695,35.73749887536932,-40.28454686908034,-24.017048492137793,-15.52223383668356,-14.138157013172883,-20.89455281016271,-3.1904719994186443,6.196558594645762,-20.50952354234576,23.85078071916254,-6.571944309559661
AS1,AS,NC,276.1101471106731,-40.44111338721988,153.83989087884615,-51.71592474589743,27.736518051282047,-14.54290881649359,-7.910114506217949,-15.199544113403846,-10.00456466261859,-13.376109396602018,2.6681585108910255,2.5242795608527566,-1.7165040587653846,26.209821945115383,-22.418949893211536
AS1,AS,NC,270.2922534412074,13.397555754427822,119.19471577503937,-33.704851772973754,36.54465393350236,-32.58083827070604,-28.34322088515486,-38.5739433770649,-14.267563515973858,-23.11704095442179,-3.7370687418456696,0.6111040757797906,-20.621048359576115,25.160292769535435,-7.944539127593175
AS1,AS,NC,272.9177783954804,-11.099261727526523,136.3739923901218,-29.97044278179567,26.344088884389727,-34.479068423904195,-19.888863541559136,-17.9963673468908,-17.877727392776183,-10.927437063549391,1.3621203976320302,1.3107698524179978,-11.12352425617835,19.30991525761015,-11.052428888084709
AS1,AS,NC,310.83354207212966,29.69944152226389,142.94456126111112,-69.13093720368981,27.496073581231485,-52.296818634625005,-34.601722196129636,-16.408224645457867,-22.088636691541666,-23.43793333827685,-1.863916616351852,-30.214287136750002,-13.882928110541297,32.90562053369862,-12.517986168097222
AS1,AS,NC,294.9087125172504,-50.4518751847194,142.57430196414313,-17.01054696669303,57.83880286423691,-38.05621535858795,-43.90980162780038,-27.32016156596045,-23.72300027915311,-18.350556560608286,-3.1602195834883235,-8.609618049640678,-3.233617380417703,20.21379750332674,-14.167478431845765
