Talker,Category,distance_SSN
AS1,AS,71.91538049173703
AS1,AS,89.83156012008723
AS1,AS,74.71055391437153
AS1,AS,81.05911058729774
AS1,AS,56.31006698573059
AS1,AS,75.14372380588176
AS1,AS,113.49034591533388
AS1,AS,68.94503645227167
AS1,AS,74.5070383401945
AS1,AS,127.89793946746833
AS1,AS,130.74956391106858
AS1,AS,98.30471681003368
AS1,AS,280.33394609083524
AS1,AS,111.29894857215635
AS1,AS,135.38082489807374
AS1,AS,121.9120236144064
AS1,AS,100.59844061314868
AS1,AS,70.53428489351124
AS1,AS,81.02384875568812
AS1,AS,94.01339783220644
AS1,AS,79.24256881755467
AS1,AS,111.08759144989882
AS1,AS,151.59016879053635
AS1,AS,88.54756220241464
AS1,AS,60.90803784844277
AS1,AS,121.44055342102283
AS1,AS,84.19864317283493
AS1,AS,43.12706000488486
AS1,AS,76.85154493428773
AS1,AS,82.33324401806132
AS1,AS,87.67439083356992
AS1,AS,70.96692528935505
AS1,AS,102.04109794349935
AS1,AS,133.52633561251366
AS1,AS,95.5968434957643
AS1,AS,90.01709922639537
AS1,AS,206.0275621393167
AS1,AS,52.204340775872126
AS1,AS,60.733481566523295
AS1,AS,67.36917155813818
AS1,AS,58.98113885238292
AS1,AS,105.58438206912946
AS1,AS,73.10315401298855
AS1,AS,106.24627969885394
AS1,AS,80.427571886724
AS1,AS,70.51758054936563
AS1,AS,170.84352198642543
AS1,AS,106.54916302077541
AS1,AS,88.40367905642303
AS1,AS,70.57429374118301
AS1,AS,115.04181206833351
AS1,AS,158.6787670554284
AS1,AS,42.56596525053126
AS1,AS,88.4060970234603
AS1,AS,63.245384325524185
AS1,AS,98.27539484192374
AS1,AS,68.97614089891799
AS1,AS,87.04830768219003
AS1,AS,59.944677676518154
AS1,AS,68.13889668999559
AS1,AS,103.75097533648817
AS1,AS,124.76258051875598
AS1,AS,104.6726516450929
AS1,AS,93.4499052978769
AS1,AS,68.81370969378867
AS1,AS,96.23292841127775
AS1,AS,79.34884096728861
AS1,AS,107.1118128360701
AS1,AS,124.89773527561917
AS1,AS,69.98252454271127
AS1,AS,120.65804274707263
AS1,AS,65.28863302612827
AS1,AS,98.69990208492815
AS1,AS,95.64861315542556
AS1,AS,84.30723246863826
AS1,AS,111.02399882897153
AS1,AS,46.427077960196776
AS1,AS,171.62230503277962
AS1,AS,89.71566229385284
AS1,AS,86.77699864835006
AS1,AS,65.03719031739962
AS1,AS,62.2412964688306
AS1,AS,156.80351022639152
AS1,AS,62.83588793208556
AS1,AS,132.38349111212102
AS1,AS,118.20258197933576
AS1,AS,144.22795469843354
AS1,AS,117.46535919136646
AS1,AS,144.28497282170196
AS1,AS,64.00320395527714
AS1,AS,118.21577221114862
AS1,AS,78.99691032452981
AS1,AS,83.67889335875104
AS1,AS,115.35420985412519
AS1,AS,92.01003877632728
AS1,AS,119.57727167705075
AS1,AS,69.55855187788607
AS1,AS,66.24700816430344
AS1,AS,56.33423041566815
AS1,AS,151.4591765536693
AS1,AS,198.20973538448757
AS1,AS,118.46930013999497
AS1,AS,116.99142964678457
AS1,AS,141.75563069102265
AS1,AS,138.16797220338793
AS1,AS,131.5154321484922
AS1,AS,62.18438214808154
AS1,AS,125.68123108210476
AS1,AS,66.34832545137152
AS1,AS,85.98874911621505
AS1,AS,61.55423734997262
AS1,AS,95.37917167939315
AS1,AS,158.63657839368292
AS1,AS,73.91028248785982
AS1,AS,64.19591334528972
AS1,AS,129.76464163969192
AS1,AS,65.78140108247315
AS1,AS,64.37771403753344
AS1,AS,149.11641668340854
AS1,AS,146.19224185409615
AS1,AS,122.41718436822926
AS1,AS,69.58955513438555
AS1,AS,96.16192088905642
AS1,AS,122.41879002370699
AS1,AS,90.60464123864926
AS1,AS,53.880508461073646
AS1,AS,118.14819155283898
AS1,AS,75.55228704092004
AS1,AS,73.11992673919272
AS1,AS,78.44971509047522
AS1,AS,77.00052875520072
AS1,AS,76.58568670358217
AS1,AS,195.72799229606525
AS1,AS,70.20723033229827
AS1,AS,91.01127991752469
AS1,AS,133.34406701758905
AS1,AS,122.99089957429597
AS1,AS,179.63113299693768
AS1,AS,76.62392464814918
AS1,AS,147.25120630161143
AS1,AS,128.16615597512396
AS1,AS,69.26869479235015
AS1,AS,87.9418493485359
AS1,AS,98.22872423588134
AS1,AS,63.903945040281336
AS1,AS,98.64311107910224
AS1,AS,65.27793051787316
AS1,AS,101.42717599942449
AS1,AS,55.57731211344731
AS1,AS,57.93652303446495
AS1,AS,75.0866954363596
AS1,AS,79.88868071973499
AS1,AS,75.81779912028196
AS1,AS,131.40320079551088
AS1,AS,95.70768138968434
AS1,AS,98.79631518881881
AS1,AS,70.28168109714592
AS1,AS,115.45178998077228
AS1,AS,57.606756607696084
AS2,AS,140.57604662255915
AS2,AS,59.62661051298599
AS2,AS,91.87693105408373
AS2,AS,43.88057440633243
AS2,AS,72.7190878509068
AS2,AS,251.11723484905306
AS2,AS,159.93022109557512
AS2,AS,104.74652892563248
AS2,AS,94.95355908396026
AS2,AS,241.66238932999332
AS2,AS,97.07264350124983
AS2,AS,68.82209917508726
AS2,AS,130.52287082629715
AS2,AS,86.81619189837801
AS2,AS,48.29182314441115
AS2,AS,65.13943394286527
AS2,AS,34.61164572096807
AS2,AS,95.90171960837175
AS2,AS,46.639323224965906
AS2,AS,64.98432181504478
AS2,AS,36.553965865323285
AS2,AS,158.66316917941046
AS2,AS,110.98350969159141
AS2,AS,45.00219685732088
AS2,AS,122.9937828541789
AS2,AS,42.088469950312444
AS2,AS,123.80168352369985
AS2,AS,109.10838016533638
AS2,AS,57.621798785356376
AS2,AS,93.68917359059382
AS2,AS,79.74807720687619
AS2,AS,39.699688882999645
AS2,AS,86.29159985754521
AS2,AS,72.03913175092049
AS2,AS,105.25923044357981
AS2,AS,41.790552668464564
AS2,AS,40.66333267818462
AS2,AS,45.06726532509642
AS2,AS,72.27785434928717
AS2,AS,72.98504439765878
AS2,AS,104.4694682155459
AS2,AS,65.3804239065102
AS2,AS,40.56898193891703
AS2,AS,76.52164776954804
AS2,AS,29.12180038935329
AS2,AS,51.94138332582562
AS2,AS,139.80101292016434
AS2,AS,90.40279714099032
AS2,AS,81.71771734923595
AS2,AS,41.192943224759816
AS2,AS,32.76120509124935
AS2,AS,57.47818378906972
AS2,AS,142.75743062951491
AS2,AS,169.52177146042337
AS2,AS,41.130224138452824
AS2,AS,118.99453440141382
AS2,AS,32.539018707794284
AS2,AS,202.84737842742828
AS2,AS,95.03703812660092
AS2,AS,90.42183797905147
AS2,AS,172.11266486199133
AS2,AS,115.65279377453433
AS2,AS,97.3241731410218
AS2,AS,42.33309270873475
AS2,AS,52.74650835481136
AS2,AS,92.70027994589105
AS2,AS,117.69949248565459
AS2,AS,56.98309841052794
AS2,AS,40.94827146704809
AS2,AS,49.95284126085937
AS2,AS,93.07570206548186
AS2,AS,49.83947406421737
AS2,AS,36.06480707928717
AS2,AS,69.68789089581048
AS2,AS,36.97878353427495
AS2,AS,72.49451951842347
AS2,AS,48.44635410493222
AS2,AS,42.16802865121392
AS2,AS,62.49669464676917
AS2,AS,57.115309572034015
AS2,AS,92.0969079065849
AS2,AS,73.85373590236276
AS2,AS,87.81701237166263
AS2,AS,110.97191090296948
AS2,AS,54.09663555623564
AS2,AS,90.4032160409161
AS2,AS,56.50890676646776
AS2,AS,47.44123631228726
AS2,AS,62.95104464638965
AS2,AS,34.98002304137908
AS2,AS,83.64999925563413
AS2,AS,48.47301747644798
AS2,AS,103.28026097913057
AS2,AS,189.98831202209644
AS2,AS,41.63156513163915
AS2,AS,60.72331177712419
AS2,AS,135.92569756854013
AS3,AS,121.91593056266744
AS3,AS,75.40594987892666
AS3,AS,113.25041081638835
AS3,AS,66.76524282503796
AS3,AS,35.991844772047166
AS3,AS,63.28281517120536
AS3,AS,86.3753152995124
AS3,AS,67.90418210844021
AS3,AS,54.443039087631206
AS3,AS,116.08872800368411
AS3,AS,201.77468079551807
AS3,AS,56.430746621168424
AS3,AS,36.948395167840296
AS3,AS,42.91092581005863
AS3,AS,96.71041221599317
AS3,AS,57.17612528467234
AS3,AS,119.3017686365845
AS3,AS,51.88510106053235
AS3,AS,74.22044992586262
AS3,AS,73.49615516202614
AS3,AS,57.303428271114164
AS3,AS,80.60184992586318
AS3,AS,57.59477744890958
AS3,AS,84.89877873841321
AS3,AS,53.06340484156134
AS3,AS,78.78411514001714
AS3,AS,75.96794657957595
AS3,AS,44.01160301098226
AS3,AS,101.02476150257196
AS3,AS,160.60971492761666
AS3,AS,44.997603660846266
AS3,AS,118.73970317852358
AS3,AS,83.37840575908031
AS3,AS,61.85478832807106
AS3,AS,68.99412515976125
AS3,AS,38.85048176076767
AS3,AS,63.59712286639229
AS3,AS,59.77410515419137
AS3,AS,53.782805880144295
AS3,AS,75.98177367514175
AS3,AS,101.88451614282424
AS3,AS,69.41673762853887
AS3,AS,71.34637075884662
AS3,AS,53.16638019697702
AS3,AS,79.01800011403205
AS3,AS,49.97627147916836
AS3,AS,149.18924918878275
AS3,AS,87.57745837621013
AS3,AS,76.3700604119078
AS3,AS,79.69867766231133
AS3,AS,44.033750556287174
AS3,AS,54.95492843528633
AS3,AS,130.8638177719475
AS3,AS,191.40782730076734
AS3,AS,48.42447138735496
AS3,AS,112.4511421062204
AS3,AS,78.02316747631721
AS3,AS,80.3971726928926
AS3,AS,95.53086521842394
AS3,AS,136.69112790343797
AS3,AS,143.60742021271153
AS3,AS,93.56001437000701
AS3,AS,106.5885814536299
AS3,AS,76.20582327534724
AS3,AS,91.95099382456037
AS3,AS,55.78328662205109
AS3,AS,76.29768154086142
