Talker,Noise,Rate
AS1,NC,6.788793103448276
AS1,NC,5.046632717285575
AS1,NC,5.056676713405844
AS1,NC,5.663365771524785
AS1,NC,5.982635434566338
AS1,NC,6.432717110920034
AS1,NC,5.349823141065751
AS1,NC,6.78070344032289
AS1,NC,6.1547765811448905
AS1,NC,7.171509106678231
AS1,NC,6.971670671556849
AS1,NC,6.047723532638508
AS1,NC,6.766109785202865
AS1,NC,6.95601882278714
AS1,NC,4.117866766267375
AS1,NC,5.281552129605435
AS1,NC,6.654126262423048
AS1,NC,6.598409712722297
AS1,NC,6.677304386312283
AS1,NC,4.977941660630803
AS1,NC,6.074858312342569
AS1,NC,6.661184210526316
AS1,NC,7.228718172877281
AS1,NC,6.443600233781415
AS1,NC,6.544691316146539
AS1,NC,6.323124569855471
AS1,NC,5.542138392271714
AS1,NC,5.330271348280656
AS1,NC,4.374710667283909
AS1,NC,4.9227740455846245
AS1,NC,5.777923354077956
AS1,NC,5.648535564853557
AS1,NC,6.381180126115698
AS1,NC,4.967614756406646
AS1,NC,6.212725992016906
AS1,NC,4.837176424706284
AS1,NC,7.217675941080196
AS1,NC,6.343176241644809
AS1,NC,4.439597315436242
AS1,NC,6.037079047209293
AS1,NC,6.9415030622173886
AS1,NC,4.618647396119708
AS1,NC,5.025172478090622
AS1,NC,5.833002664248059
AS1,NC,5.044323706033743
AS1,NC,7.291398758129111
AS1,NC,5.799579168858496
AS1,NC,3.443967200312378
AS1,NC,6.245098039215686
AS1,NC,5.3700264848245
AS1,NC,4.536103682369883
AS1,NC,5.885362218910563
AS1,NC,7.686944396025797
AS1,NC,7.26266183587119
AS1,NC,4.721829628677888
AS1,NC,7.050923335198657
AS1,NC,5.386720085992085
AS1,NC,4.453482180562951
AS1,NC,8.219178082191782
AS1,NC,6.817830456068023
AS1,NC,6.249374812443733
AS1,NC,6.368690880207957
AS1,NC,5.451623537168287
AS1,NC,4.9286133385487965
AS1,NC,4.3129584352078245
AS1,NC,5.780927744957529
AS1,NC,6.101835624019925
AS1,NC,6.276909938440736
AS1,NC,4.92643069164725
AS1,NC,5.038710090216904
AS1,NC,6.653877656593525
AS1,NC,4.4325276700406775
AS1,NC,5.22542804668523
AS1,NC,5.7699856077456495
AS1,NC,5.321373984393854
AS1,NC,5.495190151024274
AS1,NC,6.345932463545664
AS1,NC,6.107187370170337
AS1,NC,6.442876087298554
AS1,NC,5.401102265768524
AS1,NC,7.032531437944232
AS1,NC,5.946848678478071
AS1,NC,4.941582501643459
AS1,NC,6.796902092243671
AS1,NC,6.455493183640738
AS1,NC,5.510777881911903
AS1,NC,4.454738300359323
AS1,NC,7.545340481350519
AS1,NC,6.903088910532907
AS1,NC,5.48780487804878
AS1,NC,6.272044601206053
AS1,NC,7.636243427887794
AS1,NC,5.800850616038935
AS1,NC,6.585529754349286
AS1,NC,6.51595744680851
AS1,NC,5.408830744071954
AS1,NC,7.075320341412283
AS1,NC,8.459620180318435
AS1,NC,4.860575333406811
AS1,NC,6.2083528859690285
AS1,NC,5.5929865723933485
AS1,NC,6.790883892824145
AS1,NC,5.9523809523809526
AS1,NC,6.962205171923842
AS1,NC,6.317146540610228
AS1,NC,6.586947353623392
AS1,NC,2.233589951377634
AS1,NC,5.310160749764194
AS1,NC,5.729753139887397
AS1,NC,4.641872587840209
AS1,NC,5.138570199340312
AS1,NC,4.996600951733515
AS1,NC,6.511584203602781
AS1,NC,5.558933444062166
AS1,NC,6.588347141110961
AS1,NC,6.392012755036791
AS1,NC,6.271554022825043
AS1,NC,5.1543258936502445
AS1,NC,5.690322580645161
AS1,NC,6.543858905329207
AS1,NC,4.5747887047107385
AS1,NC,7.601154823975524
AS1,NC,4.374875995578357
AS1,NC,4.798694232861807
AS1,NC,4.890219560878244
AS1,NC,3.6804090860810574
AS1,NC,4.246049416890322
AS1,NC,6.530753282653767
AS1,NC,6.924629878869448
AS1,NC,5.914699570815451
AS1,NC,5.100265497405366
AS1,NC,5.0314269711867565
AS1,NC,6.531978552596498
AS1,NC,5.205792083103801
AS1,NC,3.830119854090672
AS1,NC,5.979985355137906
AS1,NC,7.275406180312202
AS1,NC,5.800723446234791
AS1,NC,6.3733849755759175
AS1,NC,5.679330328396651
AS1,NC,6.199261992619926
AS1,NC,4.616914728411649
AS1,NC,8.111587982832617
AS1,NC,5.00023870336333
AS1,NC,4.457057140121494
AS2,NC,6.282647924779181
AS2,NC,6.105521945980415
AS2,NC,5.9910338269256895
AS2,NC,3.924185798184731
AS2,NC,6.790313549832026
AS2,NC,6.053922465863748
AS2,NC,6.16395275700608
AS2,NC,4.4847457627118645
AS2,NC,5.410532276330691
AS2,NC,5.262529832935561
AS2,NC,4.255871960091457
AS2,NC,6.277877953876815
AS2,NC,6.34349827387802
AS2,NC,3.7904508143882416
AS2,NC,4.936628565031904
AS2,NC,5.470300538701446
AS2,NC,6.320419817873129
AS2,NC,5.466223449208406
AS2,NC,5.009371272789232
AS2,NC,5.717301922435826
AS2,NC,6.735039120321421
AS2,NC,7.605196596918832
AS2,NC,6.456619132675471
AS2,NC,5.306603773584905
AS2,NC,6.69495181935855
