Talkers,Category,Noise,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
C1,C,NC,316.98465671831684,90.62823131208118,112.28370776667921,-2.5023496095390896,46.38520928226931,2.110674947093069,-30.422642806262715,-4.570164236330891,-16.79773158101782,-9.181865596485345,12.166998997004951,12.400270402032513,-14.432460315344555,10.429566248956435,1.3288182050364357
C1,C,NC,339.77931477674935,102.24412415242011,110.24041411314049,-5.183837565318181,40.05857183352755,-5.375071653673554,-37.33733613295359,-9.85069338711777,-19.64677890047383,-13.836417239848762,7.4959107815177,23.398393384629475,-14.798097717867769,12.091418781988747,0.8857137032796142
C1,C,NC,314.87972865921427,64.92116589669523,85.63447334018096,1.431885930753334,35.79164528660952,-0.40651444885333465,-23.243140019119046,16.151810916555476,-15.728263781564285,10.984293139178572,7.149669577167619,-6.1688365696761895,-22.306002407089046,9.314204518585477,10.208020098213334
C1,C,NC,286.78618048039124,63.36223659526746,123.05742654544909,10.325078728956086,32.93219851674451,2.2685086503790406,-14.33475080425449,-3.169669678817565,-24.09545386833533,-4.381341247872255,5.108139999826946,-0.3205752239051896,-17.017453296926345,16.716674500007027,0.13012509535888184
C1,C,NC,305.8277819232749,94.41637845311253,124.80275176420653,-6.718867449696353,30.1658496973604,-4.8552696293760675,-28.453086206558687,-6.664454451479487,-33.78540488257892,-4.404229432616241,6.703145525916524,5.152931227380343,-11.071225852056553,20.636359923086324,3.42489485279245
C1,C,NC,291.6685246387007,81.67568955205255,132.46638352677226,8.616967654246716,35.2310709510308,5.431601410461928,-22.97018603209635,-8.119718823580438,-27.20979896081445,-1.4249161691386856,1.3742516135694882,-4.377793371878394,-15.726288861556643,17.528999385625692,4.512496841573577
C1,C,NC,227.23420867822466,-1.123332032921348,121.13703676685392,24.84060442253933,30.653385629887648,-10.373541393505619,-13.408376942876405,-5.293500769842697,-25.57060450836292,13.94390687283146,11.711336054977526,10.399697856516855,-2.2204118858146074,20.6406104495618,-6.262706111179776
C1,C,NC,222.7210466891208,3.116595014765098,130.9241830540134,-12.082239058322148,39.20071598232886,-20.985880661275168,-8.604462896567114,-13.594285775,-11.021725171089933,1.778700303758389,0.43638697324832115,8.585100066510066,-2.7854898951073825,16.19090221409329,4.812475070832216
C1,C,NC,280.56333093086613,77.89467914994488,109.73712682081366,7.321366293202624,35.847561225787665,5.128217014290289,-5.090114375011023,8.643676642829398,-31.39874716620735,-1.999593501288714,0.3451933068999994,2.1961730425375325,-17.641513015593173,22.27878840666142,6.830670312635171
C1,C,NC,264.13373998717606,43.52464708465652,141.5416023237826,25.025951180365215,54.95061058553848,3.2003426794804346,-7.838633289093481,-10.814273639111741,-32.332411547619564,1.597893443275653,12.17813713935435,-0.14676714545195627,-12.773735609390652,20.44742595818174,1.7633437887747831
